date,open,high,low,close,volume,Name
2017-05-25,994.891865234375,997.275437890625,984.677876171875,989.5230175781251,45642695,AMZN
2017-05-26,991.8790625,996.79625,986.49313125,993.253125,9194450,GOOGL
2017-10-13,991.0875,996.7025000000001,988.288675,991.7124999999999,3517544,GOOG
